"filename", "language", "JavaScript", "JSON", "CSS", "HTML", "comment", "blank", "total"
"c:\Users\koopa\Documents\TT\TrabajoTerminal\src\styles\GoTutorial.css", "CSS", 0, 0, 12, 0, 0, 5, 17
"c:\Users\koopa\Documents\TT\TrabajoTerminal\src\styles\OutputPanel.css", "CSS", 0, 0, 24, 0, 2, 5, 31
"c:\Users\koopa\Documents\TT\TrabajoTerminal\src\styles\Toolbar.css", "CSS", 0, 0, 54, 0, 2, 16, 72
"c:\Users\koopa\Documents\TT\TrabajoTerminal\src\views\CodeEditorView.js", "JavaScript", 40, 0, 0, 0, 7, 8, 55
"c:\Users\koopa\Documents\TT\TrabajoTerminal\src\views\ExampleView.js", "JavaScript", 0, 0, 0, 0, 0, 1, 1
"c:\Users\koopa\Documents\TT\TrabajoTerminal\src\views\LectureView.js", "JavaScript", 309, 0, 0, 0, 5, 104, 418
"c:\Users\koopa\Documents\TT\TrabajoTerminal\src\views\OutputPanelView.js", "JavaScript", 13, 0, 0, 0, 1, 4, 18
"c:\Users\koopa\Documents\TT\TrabajoTerminal\src\views\ProfessorView.js", "JavaScript", 10, 0, 0, 0, 0, 3, 13
"c:\Users\koopa\Documents\TT\TrabajoTerminal\src\views\QuestionView.js", "JavaScript", 73, 0, 0, 0, 0, 15, 88
"c:\Users\koopa\Documents\TT\TrabajoTerminal\src\views\ToolbarView.js", "JavaScript", 177, 0, 0, 0, 5, 68, 250
"c:\Users\koopa\Downloads\front\TrabajoTerminal\package-lock.json", "JSON", 0, -17841, 0, 0, 0, -1, -17842
"c:\Users\koopa\Downloads\front\TrabajoTerminal\package.json", "JSON", 0, -54, 0, 0, 0, -1, -55
"c:\Users\koopa\Downloads\front\TrabajoTerminal\public\index.html", "HTML", 0, 0, 0, -20, -23, -1, -44
"c:\Users\koopa\Downloads\front\TrabajoTerminal\public\manifest.json", "JSON", 0, -25, 0, 0, 0, -1, -26
"c:\Users\koopa\Downloads\front\TrabajoTerminal\server copy.js", "JavaScript", -32, 0, 0, 0, -5, -7, -44
"c:\Users\koopa\Downloads\front\TrabajoTerminal\server.js", "JavaScript", -135, 0, 0, 0, -2, -34, -171
"c:\Users\koopa\Downloads\front\TrabajoTerminal\src\App.css", "CSS", 0, 0, -13, 0, -1, -5, -19
"c:\Users\koopa\Downloads\front\TrabajoTerminal\src\App.js", "JavaScript", -42, 0, 0, 0, 0, -10, -52
"c:\Users\koopa\Downloads\front\TrabajoTerminal\src\components\CodeEditor.css", "CSS", 0, 0, -3, 0, 0, -1, -4
"c:\Users\koopa\Downloads\front\TrabajoTerminal\src\components\CodeEditor.js", "JavaScript", -32, 0, 0, 0, 0, -5, -37
"c:\Users\koopa\Downloads\front\TrabajoTerminal\src\components\DropdownButton.js", "JavaScript", -19, 0, 0, 0, 0, -7, -26
"c:\Users\koopa\Downloads\front\TrabajoTerminal\src\components\GoTutorial.js", "JavaScript", -25, 0, 0, 0, 0, -5, -30
"c:\Users\koopa\Downloads\front\TrabajoTerminal\src\components\Modal.css", "CSS", 0, 0, -27, 0, 0, -7, -34
"c:\Users\koopa\Downloads\front\TrabajoTerminal\src\components\Modal.js", "JavaScript", -23, 0, 0, 0, 0, -5, -28
"c:\Users\koopa\Downloads\front\TrabajoTerminal\src\components\MyQuizComponent.js", "JavaScript", -29, 0, 0, 0, -1, -8, -38
"c:\Users\koopa\Downloads\front\TrabajoTerminal\src\components\OutputPanel.css", "CSS", 0, 0, -15, 0, 0, -6, -21
"c:\Users\koopa\Downloads\front\TrabajoTerminal\src\components\OutputPanel.js", "JavaScript", -11, 0, 0, 0, 0, -3, -14
"c:\Users\koopa\Downloads\front\TrabajoTerminal\src\components\Quiz.css", "CSS", 0, 0, -41, 0, -5, -14, -60
"c:\Users\koopa\Downloads\front\TrabajoTerminal\src\components\Quiz.js", "JavaScript", -169, 0, 0, 0, -1, -59, -229
"c:\Users\koopa\Downloads\front\TrabajoTerminal\src\components\TopicsDropdownButton.js", "JavaScript", -19, 0, 0, 0, 0, -7, -26
"c:\Users\koopa\Downloads\front\TrabajoTerminal\src\controllers\CodeEditorController.js", "JavaScript", -15, 0, 0, 0, -4, -5, -24
"c:\Users\koopa\Downloads\front\TrabajoTerminal\src\controllers\CodeExecutionController.js", "JavaScript", -3, 0, 0, 0, -1, -9, -13
"c:\Users\koopa\Downloads\front\TrabajoTerminal\src\controllers\LectureController.js", "JavaScript", -16, 0, 0, 0, -1, -2, -19
"c:\Users\koopa\Downloads\front\TrabajoTerminal\src\controllers\QuizController.js", "JavaScript", -28, 0, 0, 0, -1, -7, -36
"c:\Users\koopa\Downloads\front\TrabajoTerminal\src\controllers\QuizzesController.js", "JavaScript", -11, 0, 0, 0, 0, -2, -13
"c:\Users\koopa\Downloads\front\TrabajoTerminal\src\controllers\TopicsController.js", "JavaScript", -11, 0, 0, 0, 0, -3, -14
"c:\Users\koopa\Downloads\front\TrabajoTerminal\src\controllers\useLecture.js", "JavaScript", -20, 0, 0, 0, -1, -5, -26
"c:\Users\koopa\Downloads\front\TrabajoTerminal\src\index.css", "CSS", 0, 0, 0, 0, 0, -1, -1
"c:\Users\koopa\Downloads\front\TrabajoTerminal\src\index.js", "JavaScript", -10, 0, 0, 0, 0, -2, -12
"c:\Users\koopa\Downloads\front\TrabajoTerminal\src\models\LectureModel.js", "JavaScript", -14, 0, 0, 0, -1, -12, -27
"c:\Users\koopa\Downloads\front\TrabajoTerminal\src\models\QuizModel.js", "JavaScript", -60, 0, 0, 0, -1, -11, -72
"c:\Users\koopa\Downloads\front\TrabajoTerminal\src\routes\QuizRoutes.js", "JavaScript", -7, 0, 0, 0, -2, -5, -14
"c:\Users\koopa\Downloads\front\TrabajoTerminal\src\styles\GoTutorial.css", "CSS", 0, 0, -10, 0, 0, -2, -12
"c:\Users\koopa\Downloads\front\TrabajoTerminal\src\styles\Toolbar.css", "CSS", 0, 0, -48, 0, 0, -12, -60
"c:\Users\koopa\Downloads\front\TrabajoTerminal\src\views\CodeEditorView.js", "JavaScript", -18, 0, 0, 0, -2, -2, -22
"c:\Users\koopa\Downloads\front\TrabajoTerminal\src\views\LectureView.js", "JavaScript", -14, 0, 0, 0, -2, -5, -21
"c:\Users\koopa\Downloads\front\TrabajoTerminal\src\views\QuizView.js", "JavaScript", -169, 0, 0, 0, -1, -59, -229
"c:\Users\koopa\Downloads\front\TrabajoTerminal\src\views\ToolbarView.js", "JavaScript", -78, 0, 0, 0, -2, -24, -104
"Total", "-", 488, 125, 57, 0, 32, 169, 871
